N,News Agency in English,News Agency in arabic,Main Category EN,Main Category AR,Sub Category En,Sub Category AR,Catergory en - internal only,Catergory ar - internal only,Category -EN,Category - AR,Platform -EN,Platform - AR,Media or Text - EN,Media or Text - AR,Hyper link,Urgency,rate from 1 - 5,status,Quality,Publish ?,license Owner,Manager,
1,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,local news,أخبار محلية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/22-%D9%85%D8%AD%D9%84%D9%8A%D8%A7%D8%AA,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
2,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,parliament,أخبار مجلس الأمة,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/28-%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D9%85%D8%A9,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
3,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,legal and security news,أخبار قانونية وأمنية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/25-%D8%A3%D9%85%D9%86-%D9%88%D9%85%D8%AD%D8%A7%D9%83%D9%85,Very High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
4,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,economic news,أخبار إقتصادية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/3-%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF,High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
5,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,articles,مقالات و آراء,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/17-%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A2%D8%B1%D8%A7%D8%A1,Medium ,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
6,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,art news, أخبار فنية وثقافية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/64759-%D8%A7%D9%84%D9%82%D8%A8%D8%B3-%D8%A7%D9%84%D8%AB%D9%82%D8%A7%D9%81%D9%8A,Medium ,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
7,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,sport news, أخبار رياضية,Website,موقع الكتروني,Text news,أخبار ,https://alqabas.com/categories/7-%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9,High,5,active,high ,yes,	القبس,	عبدالله غازي يوسف المضف,
8,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/playlist?list=PLsmKD0jvg8ur3616c3XizL_0cT70ZhrtM,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
9,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,"news, interviews and reports",أخبار ولقاءات وبرامج وتقارير,Youtube,يوتيوب,Media news,أخبار ميديا,https://www.youtube.com/playlist?list=PLsmKD0jvg8uoLgtEG2YTSJerE11LQcHGR,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
10,alqabas,جريدة القبس,NewsAgency News,أخبار  الصحف ,News paper,صحف ,News paper,صحف ,mixed news - local & global,أخبار محلية وعالمية,Twitter,تويتر,Mixed media and Text,متنوع ,https://twitter.com/alqabas,Very High,5,active,high ,yes,شركة باب الكويت للصحافة,	عبدالله قنيص رجا الهاجرى,
